date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,atr14,atr_pct,atr_multi_50sma,previous_session_high,previous_session_low,previous_session_volume,inside_day,tight_day,close_to_ma,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-05-06,178.5399932861328,187.72000122070312,169.24000549316406,186.9900054931641,8984584.0,-0.0112422548360481,165.93293468996467,153.44806115014154,146.8004000854492,138.32766672770182,121.4684001159668,80.42920011520386,53.58445008277893,78.57499694824219,191.8699951171875,41.119998931884766,191.8699951171875,31.670000076293945,191.8699951171875,18.5,191.8699951171875,18.5,191.8699951171875,12.557000160217283,191.8699951171875,12022829.6,12448821.68,6567263.825396826,1663631058.826407,0.1216263967378941,18.80307115827288,0.1053157380158438,4.461320349891095,188.9250030517578,174.1999969482422,7984000.0,False,False,False,0.5176810116665402,1.3634900165201376,3.474686377401084,4.1816038156598525,4.403752673693991,5.027257095526185,1.83072127443784,90.0,95.0,95.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,92.3076923076923,AAOI
2026-05-06,5.039999961853027,5.050000190734863,4.590000152587891,4.610000133514404,7552689.0,0.0815450916059465,4.403268932468052,4.145376005812087,3.937600002288818,3.840666667620341,3.714999995231629,3.6776999950408937,4.142150000333786,3.220000028610229,5.159999847412109,2.930000066757202,5.159999847412109,2.744999885559082,5.159999847412109,2.744999885559082,5.159999847412109,2.744999885559082,6.514999866485596,1.940000057220459,6.514999866485596,4604214.725,4516801.78,5057705.511904762,28009637.546008684,0.0671010680147567,0.323785696710859,0.0642431942780838,5.551750280022726,5.159999847412109,4.570000171661377,13351800.0,True,False,False,0.5272727377815354,1.3721072573622235,0.541284400994096,1.4403335091290193,-0.0614525010686658,0.8731560932572203,0.9103366564468134,40.0,95.0,95.0,93.0,93.0,36.0,36.0,91.0,91.0,90.0,87.0,100.0,ABCL
2026-05-06,5.949999809265137,6.235000133514404,5.599999904632568,5.599999904632568,6537492.0,0.0606060013652332,5.0190568529532325,4.423317257416466,3.925000019073486,3.748833354314168,3.326300010681152,3.240250015258789,3.229125012159348,2.7100000381469727,6.235000133514404,2.240000009536743,6.235000133514404,2.240000009536743,6.235000133514404,2.240000009536743,6.235000133514404,2.240000009536743,6.235000133514404,2.240000009536743,6.235000133514404,4790834.8,4426771.84,4470747.984126984,22198280.25868101,0.0969720962405173,0.4874999523162842,0.0819327677216335,9.627091487944869,5.75,5.320000171661377,5699300.0,False,False,False,1.0376711143161534,1.8306509734023,1.0446734136664635,1.910751598491205,0.4476884710408451,1.3468236941303957,1.0715958083545432,58.0,99.0,99.0,98.0,98.0,87.0,87.0,98.0,98.0,97.0,96.0,100.0,ABSI
2026-05-06,1.25,1.2599999904632568,1.2000000476837158,1.2300000190734863,14787803.0,0.016260146842582,1.1999419929132236,1.161842466176031,1.1144799947738648,1.077733329931895,1.068659991025925,1.3084299916028976,3.5498399910330773,0.7699999809265137,1.440000057220459,0.7699999809265137,1.440000057220459,0.7699999809265137,2.0999999046325684,0.7699999809265137,5.35699987411499,0.7699999809265137,7.5,0.7699999809265137,14.649999618530272,15242137.575,15779500.06,8717861.202380951,21424745.30328113,0.0808681230904644,0.1092857207570757,0.0874285766056605,1.940888892668164,1.25,1.1699999570846558,13277700.0,False,True,True,0.4334862730226363,1.2878491639944631,-0.0234374781721267,0.9125997272411333,-0.7459349632893545,0.2363635672569722,1.7483803906899995,89.0,93.0,93.0,40.0,40.0,4.0,4.0,92.0,88.0,84.0,81.0,76.92307692307693,ABTC
2026-05-06,25.299999237060547,26.059999465942383,25.229999542236328,25.270000457763672,2402225.0,0.0011871301445764,26.68944964005684,26.497447900613636,26.59999992370605,26.07633323669433,25.04659996032715,19.70869995117188,20.403999981880187,21.600000381469727,30.200000762939453,13.300000190734863,30.200000762939453,11.43000030517578,30.200000762939453,11.43000030517578,30.200000762939453,11.43000030517578,30.200000762939453,11.43000030517578,30.200000762939453,3166518.125,3499284.5,2943369.146825397,90432127.88843632,0.0618778555741927,1.8157144274030408,0.0717673708362529,0.1409709268887544,27.899999618530277,25.25,3322900.0,False,True,False,-0.0035447087338089,0.8952189762578626,0.8671585889983993,1.7448636220919973,0.1872360333699199,1.1045177552034804,1.0758141323915429,58.0,27.0,27.0,97.0,97.0,71.0,71.0,58.0,93.0,95.0,93.0,0.0,ACHC
2026-05-06,171.0,171.61000061035156,156.42999267578125,157.27000427246094,1882737.0,0.2240515657516744,142.55470816971453,132.07960771324437,124.45160064697264,119.71166712443032,105.92820037841796,96.82950050354005,90.03400020599365,89.16000366210938,171.61000061035156,75.30999755859375,171.61000061035156,75.30999755859375,171.61000061035156,73.5999984741211,171.61000061035156,73.5999984741211,171.61000061035156,52.54999923706055,171.61000061035156,737745.925,750828.74,650630.3055555555,105763838.0257965,0.0509353648659771,8.916427612304688,0.0521428515339455,11.781116372142312,145.4199981689453,138.75,1017900.0,False,False,False,0.7652523500731869,1.5859089871069283,1.0662155097400614,1.93088273250623,1.0667150642371248,1.9227208568771204,1.133894192601525,64.0,97.0,97.0,98.0,98.0,96.0,96.0,96.0,96.0,95.0,94.0,100.0,ACLS
2026-05-06,55.380001068115234,55.52999877929688,52.5,54.11000061035156,1409907.0,0.0488636717487633,52.22831439220912,50.91719966181834,49.38399978637696,47.95916646321614,48.594099884033206,50.22459995269775,41.76797497749329,37.15999984741211,57.27000045776367,37.15999984741211,71.6500015258789,37.15999984741211,71.6500015258789,28.459999084472656,71.6500015258789,28.459999084472656,71.6500015258789,19.100000381469727,71.6500015258789,1023172.675,1204152.14,1345129.392857143,53836385.22955799,0.0566319731087374,3.578356606619699,0.0646145998122762,2.1611918955248086,54.77999877929688,52.380001068115234,1051100.0,False,False,False,0.3214030367393303,1.1871531860407418,-0.0199964127938645,0.9158154100626928,0.3386512568999043,1.2453834281583902,0.7606500017271307,25.0,90.0,90.0,41.0,41.0,82.0,82.0,88.0,83.0,78.0,90.0,88.46153846153845,ACMR
2026-05-06,29.15999984741211,29.350000381469727,27.15999984741211,28.015399932861328,2859240.0,0.047978402439103,30.27047112848784,29.269063675170138,28.63659996032715,27.89483331044515,25.612885513305663,21.61402714729309,18.181061491966247,22.575000762939453,34.34000015258789,17.272023300368655,34.34000015258789,16.558092138080937,34.34000015258789,11.536419461694408,34.34000015258789,11.536419461694408,34.34000015258789,11.536419461694408,34.34000015258789,1408063.675,1322736.14,802749.4603174604,48391173.37813053,0.0425443585908178,1.5957860946655271,0.0547251750005461,2.53063505683417,30.834999084472656,26.940099716186523,4863895.0,True,False,True,0.1430811284116662,1.026948149631542,0.6699493856357532,1.5605712074483054,1.0521667485703985,1.909186165787436,1.7540512259493246,89.0,75.0,75.0,95.0,95.0,96.0,96.0,76.0,90.0,88.0,95.0,46.15384615384615,ADEA
2026-05-06,15.710000038146973,15.8149995803833,15.109999656677246,15.300000190734863,2677378.0,0.0267973753137853,16.679631851296673,16.115545800276294,15.83800003051758,15.308666706085203,13.410999984741212,11.356499996185304,10.173199970722198,12.109999656677246,18.690000534057617,9.25,18.690000534057617,8.5,18.690000534057617,7.110000133514404,18.690000534057617,7.110000133514404,18.690000534057617,7.110000133514404,18.690000534057617,2527886.95,2331795.56,1555718.1666666667,51419239.68614397,0.0518165099364928,1.0367857388087682,0.065995272838399,2.597556427690406,16.030000686645508,14.279999732971191,6203600.0,True,False,True,0.1892505672051978,1.0684269375846125,0.6589228717177165,1.550266907038347,0.5062319825964958,1.4012883044923594,1.624900322027051,88.0,81.0,81.0,95.0,95.0,89.0,89.0,77.0,90.0,90.0,93.0,30.76923076923077,ADTN
2026-05-06,96.7300033569336,97.1709976196289,86.31999969482422,91.01000213623048,2217292.0,0.0607522838820742,89.29465705023915,82.10948350136768,78.21120056152344,70.9533338546753,58.19700031280517,42.16830009460449,33.169200048446655,29.1299991607666,102.4800033569336,26.0,102.4800033569336,19.899999618530277,102.4800033569336,18.700000762939453,102.4800033569336,18.700000762939453,102.4800033569336,8.020000457763672,102.4800033569336,3245192.3,3029747.84,1690548.380952381,316540480.53868866,0.1091205251866802,9.677213396344866,0.1000435548486022,6.61824959234881,93.13999938964844,84.98999786376953,2270700.0,False,False,False,0.9249751911827582,1.7294045554042423,3.059169268427345,3.793302204818089,2.720384744497446,3.4611744345576443,1.9196092442925532,91.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,84.61538461538461,AEHR
